Year,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Off Pts Rank,Off Yds Rank,Def Pts Rank,Def Yds Rank,T/G,Pts_diff,Yds_diff,MoV,SoS,SRS,OSRS,DSRS
2021,ARI,11,6,0,2nd of 4,Lost WC,449,366,83,11,8,11,11,4,9,5,4.9,0.3,5.2,3.6,1.6
2020,ARI,8,8,0,3rd of 4,,410,367,43,13,6,12,13,17,13,11,2.7,-0.1,2.6,1.5,1.0
2019,ARI,5,10,1,4th of 4,,361,442,-81,16,21,28,32,18,23,29,-5.1,1.8,-3.2,-0.3,-2.9
2018,ARI,3,13,0,4th of 4,,225,425,-200,32,32,26,20,29,32,32,-12.5,1.0,-11.5,-9.6,-1.9
2017,ARI,8,8,0,3rd of 4,,295,361,-66,25,22,19,6,23,24,15,-4.1,0.4,-3.7,-4.0,0.2
2016,ARI,7,8,1,2nd of 4,,418,362,56,6,9,14,2,17,7,1,3.5,-1.9,1.6,2.4,-0.8
2015,ARI,13,3,0,1st of 4,Lost Conf,489,313,176,2,1,7,5,4,2,2,11.0,1.3,12.3,9.0,3.4
2014,ARI,11,5,0,2nd of 4,Lost WC,310,299,11,24,24,5,24,5,16,27,0.7,1.3,2.0,-2.4,4.4
2013,ARI,10,6,0,3rd of 4,,379,324,55,16,12,7,6,17,10,7,3.4,3.0,6.4,2.7,3.7
2012,ARI,5,11,0,4th of 4,,250,357,-107,31,32,17,12,17,27,31,-6.7,3.5,-3.2,-4.8,1.6
2021,ATL,7,10,0,3rd of 4,,313,459,-146,26,29,29,26,25,28,29,-8.6,0.1,-8.5,-4.2,-4.3
2020,ATL,4,12,0,4th of 4,,396,414,-18,16,18,19,29,13,18,25,-1.1,1.9,0.7,-0.1,0.8
2019,ATL,7,9,0,2nd of 4,,381,399,-18,13,5,23,20,24,19,12,-1.1,1.1,-0.1,0.3,-0.4
2018,ATL,7,9,0,2nd of 4,,414,423,-9,10,6,25,28,15,17,17,-0.6,0.4,-0.1,2.5,-2.6
2017,ATL,10,6,0,3rd of 4,Lost Div,353,315,38,15,8,8,9,19,11,7,2.4,1.9,4.3,1.1,3.2
2016,ATL,11,5,0,1st of 4,Lost SB,540,406,134,1,2,27,25,4,2,4,8.4,0.1,8.5,10.5,-2.0
2015,ATL,8,8,0,2nd of 4,,339,345,-6,21,7,14,16,27,15,10,-0.4,-3.4,-3.8,-4.0,0.3
2014,ATL,6,10,0,3rd of 4,,381,417,-36,12,8,27,32,11,24,23,-2.3,-1.6,-3.8,0.6,-4.4
2013,ATL,4,12,0,3rd of 4,,353,443,-90,20,14,27,27,24,25,26,-5.6,2.9,-2.8,1.2,-3.9
2012,ATL,13,3,0,1st of 4,Lost Conf,419,299,120,7,8,5,24,5,5,14,7.5,-1.1,6.4,2.0,4.5
2021,BAL,8,9,0,4th of 4,,387,392,-5,17,6,19,25,28,19,14,-0.3,0.0,-0.3,-0.3,0.0
2020,BAL,11,5,0,2nd of 4,Lost Div,468,303,165,7,19,2,7,10,1,10,10.3,-2.0,8.3,3.9,4.3
2019,BAL,14,2,0,1st of 4,Lost Div,531,282,249,1,2,3,4,6,1,1,15.6,0.1,15.6,11.0,4.7
2018,BAL,10,6,0,1st of 4,Lost WC,389,287,102,13,9,2,1,22,6,1,6.4,0.6,7.0,0.6,6.4
2017,BAL,9,7,0,2nd of 4,,395,303,92,9,27,6,12,1,8,21,5.8,-2.4,3.4,2.2,1.2
2016,BAL,8,8,0,2nd of 4,,343,321,22,21,17,9,7,9,13,8,1.4,0.2,1.5,-1.1,2.6
2015,BAL,5,11,0,3rd of 4,,328,401,-73,25,14,24,8,30,24,11,-4.6,2.6,-1.9,-0.7,-1.2
2014,BAL,10,6,0,3rd of 4,Lost Div,409,302,107,8,12,6,8,14,6,8,6.7,-2.1,4.6,1.8,2.8
2013,BAL,8,8,0,3rd of 4,,320,352,-32,25,29,12,12,22,20,23,-2.0,-1.5,-3.5,-5.0,1.4
2012,BAL,10,6,0,1st of 4,Won SB,398,344,54,10,16,12,17,8,11,15,3.4,-0.5,2.9,1.9,1.0
2021,BUF,11,6,0,1st of 4,Lost Div,483,289,194,3,5,1,1,7,1,1,11.4,-1.6,9.8,5.0,4.8
2020,BUF,13,3,0,1st of 4,Lost Conf,501,375,126,2,2,16,14,10,5,8,7.9,-0.2,7.7,7.1,0.6
2019,BUF,10,6,0,2nd of 4,Lost WC,314,259,55,23,24,2,3,10,10,9,3.4,-1.3,2.2,-3.5,5.7
2018,BUF,6,10,0,3rd of 4,,269,374,-105,30,30,18,2,23,28,18,-6.6,-0.3,-6.9,-6.3,-0.6
2017,BUF,9,7,0,2nd of 4,Lost WC,302,359,-57,22,29,18,26,7,21,29,-3.6,-0.5,-4.0,-3.0,-1.0
2016,BUF,7,9,0,3rd of 4,,399,378,21,10,16,16,19,7,14,20,1.3,-1.6,-0.3,1.8,-2.2
2015,BUF,8,8,0,3rd of 4,,379,359,20,12,13,15,19,8,13,14,1.3,-1.2,0.0,0.3,-0.2
2014,BUF,9,7,0,2nd of 4,,343,289,54,18,26,4,4,6,12,14,3.4,1.6,4.9,-0.4,5.3
2013,BUF,6,10,0,4th of 4,,339,388,-49,22,19,20,10,12,22,16,-3.1,-0.1,-3.2,-1.3,-1.9
2012,BUF,6,10,0,4th of 4,,344,435,-91,21,19,26,22,27,25,22,-5.7,-1.0,-6.7,-0.9,-5.8
2021,CAR,5,12,0,4th of 4,,304,404,-100,29,30,21,2,29,26,19,-5.9,0.4,-5.5,-5.0,-0.5
2020,CAR,5,11,0,3rd of 4,,350,402,-52,24,21,18,18,16,23,18,-3.3,2.2,-1.1,-2.4,1.3
2019,CAR,5,11,0,4th of 4,,340,470,-130,20,19,31,23,29,29,23,-8.1,1.1,-7.0,-1.9,-5.1
2018,CAR,7,9,0,3rd of 4,,376,382,-6,14,10,19,15,15,16,12,-0.4,1.3,0.9,0.1,0.8
2017,CAR,11,5,0,2nd of 4,Lost WC,363,327,36,12,19,11,7,16,12,14,2.3,2.1,4.3,1.7,2.7
2016,CAR,6,10,0,4th of 4,,369,402,-33,15,19,26,21,21,25,25,-2.1,1.1,-1.0,-0.2,-0.8
2015,CAR,15,1,0,1st of 4,Lost SB,500,308,192,1,11,6,6,1,1,5,12.0,-3.9,8.1,6.0,2.1
2014,CAR,7,8,1,1st of 4,Lost Div,339,374,-35,19,16,21,10,13,23,12,-2.2,-0.9,-3.1,-2.4,-0.7
2013,CAR,12,4,0,1st of 4,Lost Div,366,241,125,18,26,2,2,6,4,12,7.8,1.4,9.2,0.6,8.6
2012,CAR,7,9,0,2nd of 4,,357,363,-6,18,12,18,10,16,18,8,-0.4,1.2,0.8,-0.5,1.3
2021,CHI,6,11,0,3rd of 4,,311,407,-96,27,24,22,6,29,24,20,-5.6,0.5,-5.2,-4.9,-0.3
2020,CHI,8,8,0,2nd of 4,Lost WC,372,370,2,22,26,14,11,23,15,20,0.1,0.1,0.2,-2.2,2.4
2019,CHI,8,8,0,3rd of 4,,280,298,-18,29,29,4,8,15,19,21,-1.1,0.2,-0.9,-5.4,4.5
2018,CHI,12,4,0,1st of 4,Lost WC,421,283,138,9,21,1,3,3,4,5,8.6,-2.3,6.3,1.5,4.8
2017,CHI,5,11,0,4th of 4,,264,320,-56,29,30,9,10,15,20,26,-3.5,2.2,-1.3,-4.6,3.3
2016,CHI,3,13,0,4th of 4,,279,399,-120,28,15,24,15,31,28,12,-7.5,0.0,-7.5,-5.2,-2.3
2015,CHI,6,10,0,4th of 4,,335,397,-62,23,21,20,14,19,21,16,-3.9,2.6,-1.3,-0.1,-1.2
2014,CHI,5,11,0,4th of 4,,319,442,-123,23,21,31,30,22,27,28,-7.7,1.0,-6.7,-2.0,-4.7
2013,CHI,8,8,0,2nd of 4,,445,478,-33,2,8,30,30,11,21,19,-2.1,-2.1,-4.1,3.0,-7.1
2012,CHI,10,6,0,3rd of 4,,375,277,98,16,28,3,5,2,6,16,6.1,0.8,6.9,1.0,6.0
2021,CIN,10,7,0,1st of 4,Lost SB,460,376,84,7,13,17,18,16,8,16,4.9,-1.9,3.1,3.4,-0.3
2020,CIN,4,11,1,4th of 4,,311,424,-113,29,29,22,26,25,28,29,-7.1,-0.4,-7.5,-5.4,-2.1
2019,CIN,2,14,0,4th of 4,,279,420,-141,30,26,25,29,29,30,30,-8.8,1.5,-7.3,-4.4,-2.9
2018,CIN,6,10,0,4th of 4,,368,455,-87,17,26,30,32,15,26,31,-5.4,2.0,-3.4,0.0,-3.4
2017,CIN,7,9,0,3rd of 4,,290,349,-59,26,32,16,18,27,22,30,-3.7,-1.3,-5.0,-4.1,-0.9
2016,CIN,6,9,1,3rd of 4,,325,315,10,24,13,8,17,12,19,15,0.6,0.4,1.0,-1.5,2.5
2015,CIN,12,4,0,1st of 4,Lost WC,419,279,140,7,15,2,11,3,5,12,8.8,1.9,10.6,4.8,5.8
2014,CIN,10,5,1,2nd of 4,Lost WC,365,344,21,15,15,12,22,16,14,21,1.3,-0.6,0.7,-0.5,1.3
2013,CIN,11,5,0,1st of 4,Lost WC,430,305,125,6,10,5,3,13,4,4,7.8,-2.5,5.4,2.3,3.0
2012,CIN,10,6,0,2nd of 4,Lost WC,391,320,71,12,22,8,6,11,10,11,4.4,-2.4,2.1,1.2,0.9
2021,CLE,8,9,0,3rd of 4,,349,371,-22,20,18,13,5,20,20,10,-1.3,0.0,-1.3,-2.7,1.3
2020,CLE,11,5,0,3rd of 4,Lost Div,408,419,-11,14,16,21,17,9,16,14,-0.7,-1.9,-2.6,0.3,-2.8
2019,CLE,6,10,0,3rd of 4,,335,393,-58,22,22,20,22,26,22,19,-3.6,1.7,-1.9,-0.4,-1.5
2018,CLE,7,8,1,3rd of 4,,359,392,-33,20,13,21,30,8,20,26,-2.1,1.7,-0.3,-1.0,0.6
2017,CLE,0,16,0,4th of 4,,234,410,-176,32,24,31,14,32,32,20,-11.0,0.0,-11.0,-6.8,-4.1
2016,CLE,1,15,0,4th of 4,,264,452,-188,31,30,30,31,29,32,31,-11.8,1.7,-10.1,-5.2,-4.9
2015,CLE,3,13,0,4th of 4,,278,432,-154,30,25,29,27,28,32,28,-9.6,3.5,-6.1,-3.2,-2.9
2014,CLE,7,9,0,4th of 4,,299,337,-38,27,23,9,23,9,25,26,-2.4,-1.5,-3.9,-4.8,0.9
2013,CLE,4,12,0,4th of 4,,308,406,-98,27,18,23,9,25,27,15,-6.1,-1.6,-7.7,-4.8,-2.9
2012,CLE,5,11,0,4th of 4,,302,368,-66,24,25,19,23,12,24,29,-4.1,-1.2,-5.3,-4.6,-0.7
2021,DAL,12,5,0,1st of 4,Lost WC,530,358,172,1,1,7,19,1,2,4,10.1,-0.2,9.9,8.2,1.7
2020,DAL,6,10,0,3rd of 4,,395,473,-78,17,14,28,23,21,25,21,-4.9,-0.2,-5.1,1.0,-6.1
2019,DAL,8,8,0,2nd of 4,,434,321,113,6,1,11,9,18,6,2,7.1,-1.8,5.3,3.8,1.5
2018,DAL,10,6,0,1st of 4,Lost Div,339,324,15,22,22,6,7,12,14,15,0.9,0.2,1.1,-1.9,2.9
2017,DAL,9,7,0,2nd of 4,,354,332,22,14,14,13,8,16,15,11,1.4,0.2,1.6,0.4,1.2
2016,DAL,13,3,0,1st of 4,Lost Div,421,306,115,5,5,5,14,9,3,6,7.2,-0.2,7.0,4.1,2.9
2015,DAL,4,12,0,4th of 4,,275,374,-99,31,22,16,17,32,29,20,-6.2,-0.7,-6.9,-7.0,0.1
2014,DAL,12,4,0,1st of 4,Lost Div,467,352,115,5,7,15,19,9,5,7,7.2,-1.8,5.4,5.3,0.1
2013,DAL,8,8,0,2nd of 4,,439,432,7,5,16,26,32,9,15,31,0.4,-1.1,-0.7,2.7,-3.4
2012,DAL,8,8,0,3rd of 4,,376,400,-24,15,6,24,19,27,19,10,-1.5,1.8,0.3,1.4,-1.2
2021,DEN,7,10,0,4th of 4,,335,322,13,23,19,3,8,15,17,17,0.8,-1.3,-0.5,-4.7,4.2
2020,DEN,5,11,0,4th of 4,,323,446,-123,28,23,25,21,32,29,26,-7.7,1.7,-6.0,-4.3,-1.7
2019,DEN,7,9,0,2nd of 4,,282,316,-34,28,28,10,12,13,21,25,-2.1,0.0,-2.1,-4.8,2.7
2018,DEN,6,10,0,3rd of 4,,329,349,-20,24,19,13,22,8,18,23,-1.3,0.7,-0.5,-3.6,3.1
2017,DEN,5,11,0,4th of 4,,289,382,-93,27,17,22,3,31,27,8,-5.8,-0.9,-6.7,-3.9,-2.9
2016,DEN,9,7,0,3rd of 4,,333,297,36,22,27,4,4,13,9,14,2.3,1.8,4.0,-2.0,6.1
2015,DEN,12,4,0,1st of 4,Won SB,355,296,59,19,16,4,1,19,10,3,3.7,2.1,5.8,0.3,5.5
2014,DEN,12,4,0,1st of 4,Lost Div,482,354,128,2,4,16,3,11,4,2,8.0,1.6,9.6,9.2,0.4
2013,DEN,13,3,0,1st of 4,Lost SB,606,399,207,1,1,22,19,14,1,1,12.9,-1.6,11.4,14.1,-2.7
2012,DEN,13,3,0,1st of 4,Lost Div,481,289,192,2,4,4,2,17,2,1,12.0,-1.9,10.1,6.3,3.8
2021,DET,3,13,1,4th of 4,,325,467,-142,25,22,31,29,22,27,28,-8.4,0.6,-7.8,-3.5,-4.3
2020,DET,5,11,0,4th of 4,,377,519,-142,20,20,32,32,27,30,30,-8.9,1.2,-7.7,-1.0,-6.7
2019,DET,3,12,1,4th of 4,,341,423,-82,18,17,26,31,24,24,28,-5.1,-0.1,-5.2,-1.2,-4.0
2018,DET,6,10,0,4th of 4,,324,360,-36,25,24,16,10,23,21,21,-2.3,-0.8,-3.0,-3.3,0.3
2017,DET,9,7,0,2nd of 4,,410,376,34,7,13,21,27,5,13,19,2.1,0.6,2.7,5.2,-2.5
2016,DET,9,7,0,2nd of 4,Lost WC,346,358,-12,20,21,13,18,20,21,24,-0.8,-0.6,-1.4,-1.3,-0.1
2015,DET,7,9,0,3rd of 4,,358,400,-42,18,20,23,18,22,18,17,-2.6,2.4,-0.2,1.0,-1.3
2014,DET,11,5,0,2nd of 4,Lost WC,321,282,39,22,19,3,2,6,13,5,2.4,-0.4,2.1,-3.2,5.2
2013,DET,7,9,0,3rd of 4,,395,376,19,13,6,15,16,28,13,5,1.2,-2.8,-1.6,-1.2,-0.5
2012,DET,4,12,0,4th of 4,,372,437,-65,17,3,27,13,30,23,2,-4.1,1.8,-2.3,2.1,-4.4
2021,GB,13,4,0,1st of 4,Lost Div,450,371,79,10,10,13,9,3,10,7,4.6,-0.2,4.4,3.5,1.0
2020,GB,13,3,0,1st of 4,Lost Conf,509,369,140,1,5,13,9,7,3,6,8.8,-1.1,7.7,5.9,1.8
2019,GB,13,3,0,1st of 4,Lost Conf,376,313,63,15,18,9,18,3,9,16,3.9,-0.7,3.2,0.6,2.6
2018,GB,6,9,1,3rd of 4,,376,400,-24,14,12,22,18,19,19,14,-1.5,-1.2,-2.7,0.0,-2.7
2017,GB,7,9,0,3rd of 4,,320,384,-64,21,26,26,22,20,23,27,-4.0,2.1,-1.9,-0.3,-1.6
2016,GB,10,6,0,1st of 4,Lost Conf,432,388,44,4,8,21,22,6,8,16,2.8,0.1,2.8,4.9,-2.0
2015,GB,10,6,0,2nd of 4,Lost Div,368,323,45,15,23,12,15,10,11,19,2.8,2.5,5.3,2.0,3.3
2014,GB,12,4,0,1st of 4,Lost Conf,486,348,138,1,6,13,15,1,3,6,8.6,-0.3,8.3,7.9,0.4
2013,GB,8,7,1,1st of 4,Lost WC,417,428,-11,8,3,24,25,19,16,8,-0.7,-2.4,-3.1,0.5,-3.6
2012,GB,11,5,0,1st of 4,Lost Div,433,336,97,5,13,11,11,10,7,9,6.1,1.2,7.3,4.9,2.4
2021,HOU,4,13,0,3rd of 4,,280,452,-172,30,32,27,31,12,30,32,-10.1,0.4,-9.7,-6.3,-3.4
2020,HOU,4,12,0,3rd of 4,,384,464,-80,18,13,27,30,27,26,27,-5.0,-0.5,-5.5,-1.4,-4.1
2019,HOU,10,6,0,1st of 4,Lost Div,378,385,-7,14,13,19,28,15,15,20,-0.4,1.0,0.5,1.0,-0.5
2018,HOU,11,5,0,1st of 4,Lost WC,402,316,86,11,15,4,12,2,9,13,5.4,-1.5,3.8,2.4,1.4
2017,HOU,4,12,0,3rd of 4,,338,436,-98,17,20,32,20,28,28,24,-6.1,-0.3,-6.4,-0.8,-5.6
2016,HOU,9,7,0,1st of 4,Lost Div,279,328,-49,28,29,11,1,26,26,10,-3.1,0.4,-2.6,-5.3,2.7
2015,HOU,9,7,0,1st of 4,Lost WC,339,313,26,21,19,7,3,10,12,6,1.6,-2.4,-0.8,-3.3,2.6
2014,HOU,9,7,0,2nd of 4,,372,307,65,14,17,7,16,2,11,19,4.1,-2.3,1.7,-0.8,2.5
2013,HOU,2,14,0,4th of 4,,276,428,-152,31,11,24,7,32,31,6,-9.5,1.9,-7.6,-5.0,-2.6
2012,HOU,12,4,0,1st of 4,Lost Div,416,331,85,8,7,9,7,7,8,6,5.3,-1.8,3.5,1.8,1.7
2021,IND,9,8,0,2nd of 4,,451,365,86,9,16,9,16,1,7,18,5.1,-0.6,4.4,3.3,1.1
2020,IND,11,5,0,2nd of 4,Lost WC,451,362,89,9,10,10,8,2,8,7,5.6,-2.8,2.8,1.2,1.6
2019,IND,7,9,0,3rd of 4,,361,373,-12,16,25,18,16,12,17,18,-0.8,-1.1,-1.8,-1.0,-0.8
2018,IND,10,6,0,2nd of 4,Lost Div,433,344,89,5,7,10,11,13,8,4,5.6,-2.2,3.4,3.9,-0.6
2017,IND,4,12,0,3rd of 4,,263,404,-141,30,31,30,30,12,30,32,-8.8,-1.3,-10.1,-6.1,-4.0
2016,IND,8,8,0,3rd of 4,,411,392,19,8,10,22,30,24,16,26,1.2,-0.8,0.4,3.1,-2.7
2015,IND,8,8,0,2nd of 4,,333,408,-75,24,28,25,26,22,25,30,-4.7,-2.0,-6.7,-3.1,-3.6
2014,IND,11,5,0,1st of 4,Lost Conf,458,369,89,6,3,19,11,22,7,3,5.6,-1.1,4.4,5.2,-0.8
2013,IND,11,5,0,1st of 4,Lost Div,391,336,55,14,15,9,20,3,10,20,3.4,0.6,4.0,1.7,2.3
2012,IND,11,5,0,2nd of 4,Lost WC,357,387,-30,18,10,21,26,26,21,18,-1.9,-2.8,-4.7,-1.9,-2.8
2021,JAX,3,14,0,4th of 4,,253,457,-204,32,27,28,20,32,32,26,-12.0,0.6,-11.4,-7.7,-3.7
2020,JAX,1,15,0,4th of 4,,306,492,-186,30,28,31,31,26,31,31,-11.6,-0.1,-11.7,-6.5,-5.3
2019,JAX,6,10,0,4th of 4,,300,397,-97,26,20,21,24,18,26,24,-6.1,-0.6,-6.7,-4.6,-2.1
2018,JAX,5,11,0,4th of 4,,245,316,-71,31,27,4,5,29,24,22,-4.4,0.4,-4.0,-8.1,4.0
2017,JAX,10,6,0,1st of 4,Lost Conf,417,268,149,5,6,2,2,5,3,2,9.3,-2.8,6.5,3.0,3.6
2016,JAX,3,13,0,4th of 4,,318,400,-82,25,23,25,6,30,27,11,-5.1,0.2,-5.0,-2.7,-2.3
2015,JAX,5,11,0,3rd of 4,,376,448,-72,14,18,31,24,29,23,22,-4.5,-3.0,-7.5,-0.7,-6.9
2014,JAX,3,13,0,3rd of 4,,249,412,-163,32,31,26,26,25,30,32,-10.2,-0.3,-10.5,-7.8,-2.7
2013,JAX,4,12,0,3rd of 4,,247,449,-202,32,31,28,27,23,32,32,-12.6,1.5,-11.1,-7.1,-4.0
2012,JAX,2,14,0,4th of 4,,255,444,-189,30,29,29,30,21,31,32,-11.8,-1.1,-13.0,-8.1,-4.9
2021,KC,12,5,0,1st of 4,Lost Conf,480,364,116,4,3,8,27,11,5,11,6.8,0.6,7.4,5.4,2.0
2020,KC,14,2,0,1st of 4,Lost SB,473,362,111,6,1,10,16,8,6,3,6.9,-0.1,6.8,4.5,2.3
2019,KC,12,4,0,1st of 4,Won SB,451,308,143,5,6,7,17,7,4,10,8.9,0.2,9.1,6.2,2.9
2018,KC,12,4,0,1st of 4,Lost Conf,565,421,144,1,1,24,31,6,2,11,9.0,-0.1,8.9,12.6,-3.8
2017,KC,10,6,0,1st of 4,Lost WC,415,339,76,6,5,15,28,2,10,12,4.8,-1.3,3.4,3.8,-0.3
2016,KC,12,4,0,1st of 4,Lost Div,389,311,78,13,20,7,24,1,4,28,4.9,0.7,5.6,1.2,4.4
2015,KC,11,5,0,2nd of 4,Lost Div,405,287,118,9,27,3,7,2,6,15,7.4,1.6,9.0,3.7,5.3
2014,KC,9,7,0,2nd of 4,,353,281,72,16,25,2,7,21,9,22,4.5,1.2,5.7,0.0,5.7
