Year,Tm,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Off Pts Rank,Off Yds Rank,Def Pts Rank,Def Yds Rank,T/G,Pts_diff,Yds_diff,MoV,SoS,SRS,OSRS,DSRS
2013,KC,11,5,0,2nd of 4,Lost WC,430,305,125,6,21,5,24,2,4,25,7.8,-1.7,6.1,1.7,4.3
2012,KC,2,14,0,4th of 4,,211,425,-214,32,24,25,20,31,32,27,-13.4,-0.6,-14.0,-10.3,-3.7
2021,OAK,10,7,0,2nd of 4,Lost WC,374,439,-65,18,11,26,14,27,23,13,-3.8,0.6,-3.3,-0.7,-2.6
2020,OAK,8,8,0,2nd of 4,,434,478,-44,10,8,30,25,30,21,17,-2.8,0.8,-2.0,2.9,-4.9
2019,OAK,7,9,0,3rd of 4,,313,419,-106,24,11,24,19,21,27,14,-6.6,-0.3,-6.9,-2.5,-4.4
2018,OAK,4,12,0,4th of 4,,290,467,-177,28,23,32,26,26,31,27,-11.1,1.8,-9.3,-5.2,-4.1
2017,OAK,6,10,0,3rd of 4,,301,373,-72,23,17,20,23,29,25,23,-4.5,-0.2,-4.7,-3.0,-1.8
2016,OAK,12,4,0,2nd of 4,Lost WC,416,385,31,7,6,20,26,1,11,19,1.9,1.3,3.3,3.5,-0.3
2015,OAK,7,9,0,3rd of 4,,359,399,-40,17,24,22,22,17,17,24,-2.5,2.3,-0.2,1.4,-1.6
2014,OAK,3,13,0,4th of 4,,253,452,-199,31,32,32,21,32,32,30,-12.4,3.4,-9.0,-4.3,-4.7
2013,OAK,4,12,0,4th of 4,,322,453,-131,24,23,29,22,27,29,24,-8.2,0.2,-8.0,-3.8,-4.2
2012,OAK,4,12,0,3rd of 4,,290,443,-153,26,18,28,18,23,29,17,-9.6,-1.3,-10.8,-4.6,-6.2
2021,LAC,9,8,0,3rd of 4,,474,459,15,5,4,29,23,19,16,9,0.9,0.2,1.1,5.3,-4.2
2020,LAC,7,9,0,3rd of 4,,384,426,-42,18,9,23,10,13,20,9,-2.6,-0.3,-2.9,-1.0,-2.0
2019,LAC,5,11,0,4th of 4,,337,345,-8,21,10,14,6,31,16,5,-0.5,-0.8,-1.3,-1.6,0.3
2018,LAC,12,4,0,2nd of 4,Lost Div,428,329,99,6,11,8,9,15,7,6,6.2,-0.2,6.0,3.0,2.9
2017,LAC,9,7,0,2nd of 4,,355,272,83,13,4,3,15,3,9,6,5.2,-1.5,3.6,-0.3,4.0
2016,LAC,5,11,0,4th of 4,,410,423,-13,9,14,29,16,26,22,13,-0.8,0.9,0.1,3.0,-3.0
2015,LAC,4,12,0,4th of 4,,320,398,-78,26,9,21,20,19,27,13,-4.9,2.2,-2.6,-1.5,-1.1
2014,LAC,9,7,0,2nd of 4,,348,348,0,17,18,13,9,22,17,16,0.0,1.9,1.9,0.7,1.2
2013,LAC,9,7,0,3rd of 4,Lost Div,396,348,48,12,5,11,23,20,12,9,3.0,-0.3,2.7,0.5,2.1
2012,LAC,7,9,0,2nd of 4,,350,350,0,20,31,16,9,14,16,25,0.0,-2.3,-2.3,-2.0,-0.4
2021,LAR,12,5,0,1st of 4,Won SB,460,372,88,7,9,15,17,13,6,12,5.2,0.1,5.3,4.2,1.1
2020,LAR,10,6,0,2nd of 4,Lost Div,372,296,76,22,11,1,1,21,10,1,4.8,0.7,5.4,-0.8,6.2
2019,LAR,9,7,0,3rd of 4,,394,364,30,11,7,17,13,15,12,8,1.9,2.0,3.9,2.2,1.7
2018,LAR,13,3,0,1st of 4,Lost SB,527,384,143,2,2,20,19,4,3,3,8.9,-0.4,8.5,9.5,-1.1
2017,LAR,11,5,0,1st of 4,Lost WC,478,329,149,1,10,12,19,9,3,10,9.3,-0.2,9.2,8.2,1.0
2016,LAR,4,12,0,3rd of 4,,224,394,-170,32,32,23,9,28,30,30,-10.6,-0.5,-11.1,-9.5,-1.6
2015,LAR,7,9,0,3rd of 4,,280,330,-50,29,32,13,23,14,19,31,-3.1,3.0,-0.2,-3.8,3.6
2014,LAR,6,10,0,4th of 4,,324,354,-30,21,28,16,17,19,21,25,-1.9,1.0,-0.8,-1.2,0.4
2013,LAR,7,9,0,4th of 4,,348,364,-16,21,30,13,15,9,17,27,-1.0,3.2,2.2,0.4,1.8
2012,LAR,7,8,1,3rd of 4,,299,348,-49,25,23,14,14,17,22,20,-3.1,3.4,0.4,-2.1,2.4
2021,MIA,9,8,0,3rd of 4,,341,373,-32,22,25,16,15,16,21,23,-1.9,-0.8,-2.7,-3.1,0.3
2020,MIA,10,6,0,2nd of 4,,404,338,66,15,22,6,20,3,11,24,4.1,-1.2,3.0,0.3,2.7
2019,MIA,5,11,0,4th of 4,,306,494,-188,25,27,32,30,27,32,31,-11.8,0.2,-11.6,-2.4,-9.1
2018,MIA,7,9,0,2nd of 4,,319,433,-114,26,31,27,29,11,30,30,-7.1,-1.7,-8.8,-3.6,-5.2
2017,MIA,6,10,0,3rd of 4,,281,393,-112,28,25,29,16,29,29,25,-7.0,0.7,-6.3,-3.9,-2.4
2016,MIA,10,6,0,2nd of 4,Lost WC,363,380,-17,17,24,18,29,13,24,29,-1.1,-1.3,-2.4,-0.6,-1.8
2015,MIA,6,10,0,4th of 4,,310,389,-79,27,26,19,25,18,28,27,-4.9,-1.9,-6.8,-4.7,-2.2
2014,MIA,8,8,0,3rd of 4,,388,373,15,11,14,20,12,14,15,13,0.9,1.6,2.6,2.9,-0.4
2013,MIA,8,8,0,3rd of 4,,317,335,-18,26,27,8,21,18,18,28,-1.1,0.3,-0.8,-2.9,2.1
2012,MIA,7,9,0,2nd of 4,,288,317,-29,27,27,7,21,24,20,28,-1.8,-0.8,-2.6,-5.5,2.9
2021,MIN,8,9,0,2nd of 4,,425,426,-1,14,12,24,30,5,18,22,-0.1,0.3,0.3,1.9,-1.6
2020,MIN,7,9,0,3rd of 4,,430,475,-45,11,4,29,27,20,22,15,-2.8,0.4,-2.4,1.3,-3.8
2019,MIN,10,6,0,2nd of 4,Lost Div,407,303,104,8,16,5,14,5,7,13,6.5,-1.1,5.4,2.5,2.9
2018,MIN,8,7,1,2nd of 4,,360,341,19,19,20,9,4,19,12,7,1.2,-0.6,0.6,-1.2,1.8
2017,MIN,13,3,0,1st of 4,Lost Conf,382,252,130,10,11,1,1,12,5,1,8.1,1.0,9.1,2.3,6.8
2016,MIN,8,8,0,3rd of 4,,327,307,20,23,28,6,3,4,15,18,1.3,-0.3,0.9,-2.6,3.6
2015,MIN,11,5,0,1st of 4,Lost WC,365,302,63,16,29,5,13,10,9,21,3.9,1.9,5.8,1.1,4.7
2014,MIN,7,9,0,3rd of 4,,325,343,-18,20,27,11,14,18,18,24,-1.1,-0.5,-1.7,-2.8,1.1
2013,MIN,5,10,1,4th of 4,,391,480,-89,14,13,32,31,28,23,29,-5.6,-1.1,-6.6,0.2,-6.9
2012,MIN,10,6,0,2nd of 4,Lost WC,379,348,31,14,20,14,16,17,13,19,1.9,1.4,3.4,1.6,1.8
2021,NE,10,7,0,2nd of 4,Lost WC,462,303,159,6,15,2,4,8,3,6,9.4,-0.9,8.5,3.6,4.8
2020,NE,7,9,0,3rd of 4,,326,353,-27,27,27,7,15,13,19,22,-1.7,0.7,-1.0,-4.2,3.2
2019,NE,12,4,0,1st of 4,Lost WC,420,225,195,7,15,1,1,1,2,4,12.2,-1.8,10.4,2.8,7.6
2018,NE,11,5,0,1st of 4,Won SB,436,325,111,4,5,7,21,5,5,8,6.9,-1.8,5.2,3.1,2.1
2017,NE,13,3,0,1st of 4,Lost SB,458,296,162,2,1,5,29,11,1,9,10.1,-1.2,8.9,6.3,2.6
2016,NE,14,2,0,1st of 4,Won SB,441,250,191,3,4,1,8,3,1,2,11.9,-2.7,9.3,4.3,5.0
2015,NE,12,4,0,1st of 4,Lost Conf,465,315,150,3,6,10,9,5,3,8,9.4,-2.4,7.0,5.3,1.7
2014,NE,12,4,0,1st of 4,Won SB,468,313,155,4,11,8,13,2,1,10,9.7,1.3,10.9,7.5,3.5
2013,NE,12,4,0,1st of 4,Lost Conf,444,338,106,3,7,10,26,8,8,13,6.6,-0.7,5.9,4.5,1.4
2012,NE,12,4,0,1st of 4,Lost Conf,557,331,226,1,1,9,25,1,1,5,14.1,-1.4,12.8,12.2,0.5
2021,NO,9,8,0,2nd of 4,,364,335,29,19,28,4,7,8,14,21,1.7,0.3,2.0,-1.5,3.6
2020,NO,12,4,0,1st of 4,Lost Div,482,337,145,5,12,5,4,3,2,2,9.1,0.5,9.6,5.1,4.5
2019,NO,13,3,0,1st of 4,Lost WC,458,341,117,3,9,13,11,2,5,7,7.3,0.0,7.4,5.0,2.3
2018,NO,13,3,0,1st of 4,Lost Conf,504,353,151,3,8,14,14,7,1,10,9.4,0.6,10.1,7.9,2.2
2017,NO,11,5,0,1st of 4,Lost Div,448,326,122,4,2,10,17,9,6,5,7.6,1.5,9.2,7.0,2.2
2016,NO,7,9,0,3rd of 4,,469,454,15,2,1,31,27,23,17,3,0.9,0.6,1.5,6.8,-5.3
2015,NO,7,9,0,3rd of 4,,408,476,-68,8,2,32,31,15,22,18,-4.3,-2.3,-6.6,1.1,-7.6
2014,NO,7,9,0,2nd of 4,,401,424,-23,9,1,28,31,31,20,9,-1.4,-1.5,-2.9,1.9,-4.8
2013,NO,11,5,0,2nd of 4,Lost Div,414,304,110,10,4,4,4,14,7,2,6.9,1.9,8.8,3.8,5.0
2012,NO,7,9,0,3rd of 4,,461,454,7,3,2,31,32,14,15,26,0.4,1.0,1.4,6.5,-5.1
2021,NYG,4,13,0,4th of 4,,258,416,-158,31,31,23,21,26,29,30,-9.3,1.0,-8.3,-7.7,-0.6
2020,NYG,6,10,0,2nd of 4,,280,357,-77,31,31,9,12,17,24,28,-4.8,0.4,-4.4,-6.7,2.3
2019,NYG,4,12,0,3rd of 4,,341,451,-110,18,23,30,25,31,28,26,-6.9,-1.0,-7.9,-1.8,-6.1
2018,NYG,5,11,0,4th of 4,,369,412,-43,16,17,23,24,13,22,24,-2.7,0.5,-2.2,0.8,-2.9
2017,NYG,3,13,0,4th of 4,,246,388,-142,31,21,27,31,20,31,31,-8.9,1.3,-7.6,-6.4,-1.2
2016,NYG,11,5,0,2nd of 4,Lost WC,310,284,26,26,25,2,10,21,12,22,1.6,0.5,2.1,-3.2,5.4
2015,NYG,6,10,0,3rd of 4,,420,442,-22,6,8,30,32,5,16,29,-1.4,-2.2,-3.6,2.5,-6.1
2014,NYG,6,10,0,3rd of 4,,380,400,-20,13,10,22,29,19,19,20,-1.3,-0.4,-1.7,0.8,-2.5
2013,NYG,7,9,0,3rd of 4,,294,383,-89,28,28,18,8,31,23,22,-5.6,0.2,-5.4,-6.2,0.8
2012,NYG,9,7,0,2nd of 4,,429,344,85,6,14,12,31,4,8,24,5.3,0.9,6.2,4.0,2.2
2021,NYJ,4,13,0,4th of 4,,310,504,-194,28,26,32,32,29,31,31,-11.4,1.0,-10.4,-3.6,-6.7
2020,NYJ,2,14,0,4th of 4,,243,457,-214,32,32,26,24,17,32,32,-13.4,1.9,-11.5,-8.7,-2.8
2019,NYJ,7,9,0,3rd of 4,,276,359,-83,31,32,16,7,23,25,27,-5.2,-1.1,-6.3,-5.7,-0.6
2018,NYJ,4,12,0,4th of 4,,333,441,-108,23,29,29,25,27,29,29,-6.8,-1.1,-7.8,-2.0,-5.9
2017,NYJ,5,11,0,4th of 4,,298,382,-84,24,28,22,25,23,26,28,-5.3,0.3,-4.9,-2.9,-2.1
2016,NYJ,5,11,0,4th of 4,,275,409,-134,30,26,28,11,31,29,23,-8.4,-0.1,-8.5,-5.5,-3.0
2015,NYJ,10,6,0,2nd of 4,,387,314,73,11,10,9,4,8,8,4,4.6,-3.0,1.5,-0.5,2.0
2014,NYJ,4,12,0,4th of 4,,283,401,-118,28,22,24,6,29,26,18,-7.4,2.3,-5.0,-4.0,-1.0
2013,NYJ,8,8,0,2nd of 4,,290,387,-97,29,25,19,11,30,26,21,-6.1,0.0,-6.1,-4.7,-1.4
2012,NYJ,6,10,0,3rd of 4,,281,375,-94,28,30,20,8,29,26,23,-5.9,0.0,-5.9,-5.1,-0.9
2021,PHI,9,8,0,2nd of 4,Lost WC,444,385,59,12,14,18,10,16,13,8,3.5,-1.0,2.5,2.6,-0.1
2020,PHI,4,11,1,4th of 4,,334,418,-84,26,24,20,19,29,27,23,-5.3,0.8,-4.4,-2.8,-1.6
2019,PHI,9,7,0,1st of 4,Lost WC,385,354,31,12,14,15,10,22,11,11,1.9,-1.7,0.3,0.7,-0.4
2018,PHI,9,7,0,2nd of 4,Lost Div,367,348,19,18,14,12,23,25,12,20,1.2,0.5,1.7,0.0,1.8
2017,PHI,13,3,0,1st of 4,Won SB,457,295,162,3,7,4,4,4,1,4,10.1,-0.7,9.4,7.0,2.5
2016,PHI,7,9,0,4th of 4,,367,331,36,16,22,12,13,7,9,21,2.3,1.6,3.8,1.3,2.5
2015,PHI,7,9,0,2nd of 4,,377,430,-53,13,12,28,30,22,20,26,-3.3,-1.3,-4.6,-0.6,-4.0
2014,PHI,10,6,0,2nd of 4,,474,400,74,3,5,22,28,26,8,11,4.6,-0.7,3.9,6.6,-2.7
2013,PHI,10,6,0,1st of 4,Lost WC,442,382,60,4,2,17,29,4,9,10,3.8,-1.9,1.9,2.3,-0.5
2012,PHI,4,12,0,4th of 4,,280,444,-164,29,15,29,15,31,30,12,-10.3,1.4,-8.9,-5.3,-3.6
2021,PIT,9,7,1,2nd of 4,Lost WC,343,398,-55,21,23,20,24,13,22,25,-3.2,0.8,-2.5,-2.6,0.1
2020,PIT,12,4,0,1st of 4,Lost WC,416,312,104,12,24,3,3,3,7,12,6.5,-1.8,4.7,0.3,4.4
2019,PIT,8,8,0,2nd of 4,,289,303,-14,27,30,5,5,7,18,22,-0.9,1.2,0.3,-4.3,4.6
2018,PIT,9,6,1,2nd of 4,,428,360,68,6,4,16,6,28,11,2,4.3,1.3,5.6,3.9,1.7
2017,PIT,13,3,0,1st of 4,Lost Div,406,308,98,8,3,7,5,14,7,3,6.1,-1.1,5.0,3.2,1.8
2016,PIT,11,5,0,1st of 4,Lost Conf,399,327,72,10,7,10,12,9,5,7,4.5,0.2,4.7,2.8,2.0
2015,PIT,10,6,0,2nd of 4,Lost Div,423,319,104,4,3,11,21,15,7,9,6.5,2.2,8.7,5.1,3.6
2014,PIT,11,5,0,1st of 4,Lost WC,436,368,68,7,2,18,18,16,10,4,4.3,-2.0,2.2,4.4,-2.1
2013,PIT,8,8,0,2nd of 4,,379,370,9,16,20,14,13,20,14,17,0.6,-2.5,-2.0,-0.9,-1.0
2012,PIT,8,8,0,3rd of 4,,336,314,22,22,21,6,1,24,14,4,1.4,-2.0,-0.7,-2.8,2.1
2021,SF,10,7,0,3rd of 4,Lost Conf,427,365,62,13,7,9,3,22,12,3,3.6,0.1,3.8,1.8,1.9
2020,SF,6,10,0,4th of 4,,376,390,-14,21,15,17,5,30,17,5,-0.9,1.7,0.8,0.2,0.7
2019,SF,13,3,0,1st of 4,Lost SB,479,310,169,2,4,8,2,10,3,3,10.6,0.4,11.0,6.7,4.3
2018,SF,4,12,0,3rd of 4,,342,435,-93,21,16,28,13,32,27,16,-5.8,0.3,-5.5,-2.5,-3.1
2017,SF,6,10,0,4th of 4,,331,383,-52,20,12,25,24,20,19,16,-3.3,0.4,-2.9,-0.8,-2.1
2016,SF,2,14,0,4th of 4,,309,480,-171,27,31,32,32,24,31,32,-10.7,-0.5,-11.2,-3.7,-7.5
2015,SF,5,11,0,4th of 4,,238,387,-149,32,31,18,29,22,31,32,-9.3,3.8,-5.5,-6.0,0.5
2014,SF,8,8,0,3rd of 4,,306,340,-34,25,20,10,5,6,22,15,-2.1,1.2,-1.0,-3.0,2.1
2013,SF,12,4,0,2nd of 4,Lost Conf,406,272,134,11,24,3,5,4,3,14,8.4,1.8,10.1,3.5,6.6
2012,SF,11,4,1,1st of 4,Lost SB,397,273,124,11,11,2,3,8,4,3,7.8,2.5,10.2,3.5,6.7
2021,SEA,7,10,0,4th of 4,,395,366,29,16,20,11,28,10,14,27,1.7,0.2,1.9,0.4,1.5
2020,SEA,12,4,0,1st of 4,Lost WC,459,371,88,8,17,15,22,10,9,19,5.5,0.0,5.5,4.8,0.7
2019,SEA,11,5,0,2nd of 4,Lost Div,405,398,7,9,8,22,26,3,14,17,0.4,2.3,2.7,2.9,-0.2
2018,SEA,10,6,0,2nd of 4,Lost WC,428,347,81,6,18,11,16,1,10,19,5.1,-0.6,4.5,3.0,1.5
2017,SEA,9,7,0,2nd of 4,,366,332,34,11,15,13,11,8,13,13,2.1,-0.2,1.9,0.7,1.2
2016,SEA,10,5,1,1st of 4,Lost Div,354,292,62,18,12,3,5,16,6,5,3.9,-1.7,2.1,-2.4,4.5
2015,SEA,10,6,0,2nd of 4,Lost Div,423,277,146,4,4,1,2,5,4,1,9.1,2.2,11.3,5.4,6.0
2014,SEA,12,4,0,1st of 4,Lost SB,394,254,140,10,9,1,1,4,2,1,8.8,0.8,9.5,2.4,7.1
2013,SEA,13,3,0,1st of 4,Won SB,417,231,186,8,17,1,1,1,2,3,11.6,1.4,13.0,4.1,8.9
2012,SEA,11,5,0,2nd of 4,Lost Div,412,245,167,9,17,1,4,5,3,7,10.4,1.8,12.2,4.5,7.7
2021,TB,13,4,0,1st of 4,Lost Div,511,353,158,2,2,5,13,6,4,2,9.3,-0.7,8.6,7.3,1.3
2020,TB,11,5,0,2nd of 4,Won SB,492,355,137,3,7,8,6,6,4,4,8.6,0.8,9.4,6.5,2.8
2019,TB,7,9,0,3rd of 4,,458,449,9,3,3,29,15,28,13,6,0.6,-0.2,0.4,4.9,-4.5
2018,TB,5,11,0,4th of 4,,396,464,-68,12,3,31,27,31,23,9,-4.3,1.7,-2.6,2.0,-4.6
2017,TB,5,11,0,4th of 4,,335,382,-47,18,9,22,32,16,18,18,-2.9,1.7,-1.3,0.4,-1.7
2016,TB,9,7,0,2nd of 4,,354,369,-15,18,18,15,23,13,23,27,-0.9,0.7,-0.2,-1.5,1.3
2015,TB,6,10,0,4th of 4,,342,417,-75,20,5,26,10,22,25,7,-4.7,-3.0,-7.7,-3.5,-4.2
2014,TB,2,14,0,4th of 4,,277,410,-133,29,30,25,25,26,28,31,-8.3,-1.5,-9.8,-6.5,-3.3
2013,TB,4,12,0,4th of 4,,288,389,-101,30,32,21,17,7,28,30,-6.3,3.6,-2.7,-2.9,0.3
2012,TB,7,9,0,4th of 4,,389,394,-5,13,9,23,29,12,17,21,-0.3,0.3,0.0,1.3,-1.3
2021,TEN,12,5,0,1st of 4,Lost Div,419,354,65,15,17,6,12,20,11,15,3.8,-0.4,3.4,1.8,1.6
2020,TEN,11,5,0,1st of 4,Lost WC,491,439,52,4,2,24,28,1,12,16,3.3,-1.7,1.6,4.7,-3.1
2019,TEN,9,7,0,2nd of 4,Lost Conf,402,331,71,10,12,12,21,9,8,15,4.4,-1.0,3.4,1.8,1.7
2018,TEN,9,7,0,3rd of 4,,310,303,7,27,25,3,8,21,15,25,0.4,-0.2,0.2,-3.2,3.5
2017,TEN,9,7,0,2nd of 4,Lost Div,334,356,-22,19,23,17,13,23,16,17,-1.4,-2.1,-3.5,-2.0,-1.5
2016,TEN,9,7,0,2nd of 4,,381,378,3,14,11,16,20,17,20,17,0.2,-1.2,-1.0,0.7,-1.7
2015,TEN,3,13,0,4th of 4,,299,423,-124,28,30,27,12,30,30,25,-7.8,-2.8,-10.5,-5.9,-4.6
2014,TEN,2,14,0,4th of 4,,254,438,-184,30,29,29,27,28,31,29,-11.5,-0.3,-11.8,-7.0,-4.9
2013,TEN,7,9,0,2nd of 4,,362,381,-19,19,22,16,14,14,19,18,-1.2,0.4,-0.8,-0.2,-0.6
2012,TEN,6,10,0,3rd of 4,,330,471,-141,23,26,32,27,22,28,30,-8.8,-1.2,-10.0,-2.6,-7.4
2021,WSH,7,10,0,3rd of 4,,335,434,-99,23,21,25,22,24,25,24,-5.8,1.6,-4.2,-2.7,-1.5
2020,WSH,7,9,0,1st of 4,Lost WC,335,329,6,25,30,4,2,23,14,13,0.4,-1.2,-0.8,-4.1,3.2
2019,WSH,3,13,0,4th of 4,,266,435,-169,32,31,27,27,13,31,32,-10.6,-0.2,-10.8,-6.3,-4.5
2018,WSH,7,9,0,3rd of 4,,281,359,-78,29,28,15,17,8,25,28,-4.9,-0.1,-4.9,-5.6,0.6
2017,WSH,7,9,0,3rd of 4,,342,388,-46,16,16,27,21,23,17,22,-2.9,1.6,-1.3,0.5,-1.8
2016,WSH,8,7,1,3rd of 4,,396,383,13,12,3,19,28,17,18,9,0.8,1.2,2.0,3.3,-1.3
2015,WSH,9,7,0,1st of 4,Lost WC,388,379,9,10,17,17,28,10,14,23,0.6,-2.5,-1.9,-0.2,-1.8
2014,WSH,4,12,0,4th of 4,,301,438,-137,26,13,29,20,30,29,17,-8.6,-0.2,-8.7,-4.0,-4.7
2013,WSH,3,13,0,4th of 4,,334,478,-144,23,9,30,18,25,30,11,-9.0,-0.3,-9.3,-3.9,-5.4
2012,WSH,10,6,0,1st of 4,Lost WC,436,388,48,4,5,22,28,3,12,13,3.0,0.4,3.4,4.6,-1.2
